Term
assorted cold dishes 拼盘 pīn pán
bitter 苦 kǔ
breakfast 早餐 zǎocān
buffet 自助餐 zì zhù cān
Chinese food 中餐 zhōng cān
Chinese food (another way to say it) 中国菜 zhōng guó cài
cold dish 冷盘 lěng pán
delicious 好吃 hǎo chī
dinner 晚餐 wǎncān
drink (beverage) 饮料 yǐn liào
drink (to) 喝 hē
dry 干 gān
eat a meal (to) 吃饭 chī fàn
food 食物 shíwù
fresh 新鲜 xīnxiān
frozen 冰冻的 bīngdòng de
full (from eating food) 饱 bǎo
grain 粮食 liáng shi
help yourself  (to) 自己来 zìjǐ lái
home-style meal 家常便饭 jiā cháng biàn fàn
hot (spicy) 辣 là
hot (boiling / scalding) 烫 tàng
hungry 饿 è
invite someone to eat 请客 qǐng kè
late-night snack 宵夜 xiāo yè
lunch 午餐 wǔcān
measure word for meal courses 道 dào
measure word for meals 顿 dùn
not fond certain food 吃不来 chī bu lái
odor 气味 qì wèi
oily 油腻 yóunì
salty 咸 xián
set the table (to) 摆 bǎi
smell (to) 闻 wén
smells good (fragrant) 香 xiāng
snacks 零食 líng shí
sour 酸 suān
specialty dish 拿手菜 ná shǒu cài
spoiled 馊 sōu
strong (taste, flavor, smell) 浓 nóng
sweet 甜 tián
taste 味道 wèi dao
taste (to) 尝 cháng
taste (bad) 难吃 nán chī
taste (weak or bland) 淡 dàn
tender 嫩 nèn
thirsty 口渴 kǒu kě
tough (food - also: overdone) 老 lǎo
unable to eat any more 吃不下 chī bu xià
vegetarian 吃素的人 chīsù de rén
western food 西餐 xī cān

At The Restaurant

FLASHCARDS: 

English / Pinyin 

Hanzi / Pinyin

Ω Vocabulary in This Flashcard Set:

ask for the bill (to) 买单 mǎi dān
bill 账单 zhàngdān
cafeteria (in school， university， etc) 食堂 shí táng
coffee shop  咖啡馆 kā fēi guǎn
dining room (or dining hall) 饭厅 fàn tīng
menu 菜单 càidān
order food (to) 点菜 diǎn cài
ordering take-out food that is delivered 外卖 wài mài
restaurant (one of three ways to say this) 饭店 fàn diàn
restaurant (one of three ways to say this) 餐馆 cān guǎn
restaurant (one of three ways to say this) 餐厅 cāntīng
tip 小费 xiǎofèi
to bag the leftovers or get take-out food 打包 dǎ bāo
waiter (or waitress) 服务员 fúwùyuán

Food Types

FLASHCARDS: 

English / Pinyin 

Hanzi / Pinyin

Ω Vocabulary in This Flashcard Set:

barbecue 烧烤 shāo kǎo
beef 牛肉 niúròu
biscuits 饼干 bǐng gān
boiled eggs 煮蛋 zhǔ dàn
bread 面包 miànbāo
butter 黄油 huángyóu
cake 蛋糕 dàngāo
candy 糖果 tángguǒ
cheese 奶酪 nǎilào
chewing gum 口香糖 kǒu xiāng táng
chicken 鸡 jī
chicken breast 鸡排 jī pái
chocolate 巧克力 qiǎokèlì
cream 奶油 nǎiyóu
fast food 快餐 kuài cān
fried eggs 煎蛋 jiān dàn
garlic 蒜 suàn
ginger 生姜 shēng jiāng
ham 火腿 huǒtuǐ
hamburger 汉堡 hànbǎo
ice cream 冰淇淋 bīng qí lín
jam 果酱 guǒ jiàng
lamb 羊肉 yángròu
meat 肉 ròu
oil 油 yóu
pancake 煎饼 jiān bǐng
pasta / spaghetti 意大利面 yìdàlì miàn
peanuts 花生米 huāshēng mǐ
pizza 披萨 pī sà
pork 猪肉 zhūròu
potato chips 薯片 shǔ piàn
salad 沙拉 shālā
sandwich 三明治 sānmíngzhì
scrambled eggs 炒蛋 chǎo dàn
seafood 海鲜 hǎixiān
sesame oil 芝麻油 zhī ma yóu
shrimp 虾 xiā
soup 汤 tāng
steak 牛排 niúpái
sugar 糖 táng
toast 烤面包 kǎo miànbāo
vegetable dish 素菜 sù cài
yoghurt 酸奶 suān nǎi

Vegetables

FLASHCARDS:

English / Pinyin 

Hanzi / Pinyin

Ω Vocabulary in This Flashcard Set

asparagus 芦笋 lú sǔn
bitter melon 苦瓜 kǔ guā
broccoli 西兰花 xī lánhuā
cabbage 白菜 báicài
carrot 胡萝卜 húluóbo
cauliflower 花菜 huā cài
celery 芹菜 qíncài
corn 玉米 yù mǐ
cilantro 香菜 xiāng cài
cucumber 黄瓜 huáng guā
eggplant 茄子 qié zi
green peas 豌豆 wān dòu
green peppers 青椒 qīng jiāo
lettuce 生菜 shēngcài
mushroom 蘑菇 mó gu
onions 洋葱 yáng cōng
potatoes 土豆 tǔdòu
radish 萝卜 luó bo
