Characters
（事情）是这样的
(骄)傲
A，放学了?
A岂会甘心只是当一个保镖？
A比B大两岁
A长得真高
一下子
一代不如一代
一双袜子
一只啤酒瓶
一天到晚
一技之长
一无所知
一束花
一流
一直以来
一窍不通
一笔钱
一罐果酱
一览无余
七十亿
七情六欲
七荤八素 （困惑，迷惑）
三五成群
三分钟热度
上上下下 （大家）
上午
上午九点左右
上当
上楼梯
上进心
下班高峰期
下社会
不三不四
不会吧!
不伦不类
不分好坏
不务正业
不卫生
不可以
不巧
不得不
不愧
不明不白 （模糊）
不朽
不止一次
不经意间
不行
不见得
不认可
不识字
业主
丝丝入扣
两碗米饭
两颗心颤抖
个子（身高）
丫子 (脚)
中国所有的省我都去过
中新社
中立
中途可不能退出
为了胎儿的健康
主人
主观
举重
久经考验
乐意
乘凉
乙方
九月中旬
九死一生
九点差一刻
乱讲
二月中旬
二话不说
二进制
亏我把你当兄弟
云端
五十亿
交付
交还
产前检查
产地
产检 (产前检查)
享用美餐
亲临
亲历着
人事
人流
人生大事
人老珠黄
人间蒸发
亿
什么都行
今天怎么没去上班啊？
今天我什么都没做
今天我们玩得非常开心
今天热死了
今天的听力测验考得怎么样?
介入
介词
从不同的角度
从明天起
他们是一对 (~ cp)
他刚从这儿经过
他刚刚才走
他单膝跪地向男友求婚
他哪里都不想去
他就感叹不已
他并不是我的男朋友
他应该少吃甜食
他打鸡血 （他太兴奋了）
他把杯子打破了
他放我鸽子
他是顾不上你了
他朝我笑了
他来我家找我玩
他每天都运动
他游了一个小时的泳
他游泳游得很快
他的回答很含糊
他被树根绊了一下
他让人打了
他高兴得哭了
代孕
代码段
以防万一 （万一）
伐木
休克
优惠券
优胜劣汰
会晤区
伞
传单
传宗接代
伸懒腰
伸手
住宅楼
体谅
你买的电脑多少钱？
你什么时候过来?
你们一伙 （同谋）
你工作到位
你怎么现在才来？
你怕什么？
你提问一下
你的中文说得太好了
你的电话号码是多少？
你能给我唱首歌吗
你认识到A的路 ?
侄女
例外
供不应求
便当
俊杰
保姆
保护环境
保持 （维持）
保时捷
保重
信赖
修女
修身养性
修饰 （点缀）
值 （价值）
值夜班
值班
做比说难
停车场
健壮
催促
僚机
儿戏
儿时
克扣
免疫力
入乡随俗
全才
全方位
八卦一下
八点整
公交车 （公共巴士）
公关
关灯
关闹钟
兴许 （也许）
兵器
其中包括妥善处置危险废物
其乐融融
养来卖
养老院
兼容
内卷 (恶性竞争)
冒险者 （冒险家）
军官
军队
冤枉路
冥想
冰棍
冲劲
冷漠
冷酷无情
冻疮
凭我多年的经验我想A
凶巴巴 （严厉）
凶残
出书
出人意料
出位
出手
出色
出轨
出门别落单
函数
刁难
分居
分布式拒绝服务
分心
分数线
分红
切菜
刑拘
列表
刚果
初稿
利爪
别乌鸦嘴
别总是拿我当小孩
到头来
刺耳 (震耳欲聋)
刻板印象
剃掉 （刮掉）
前卫
前天
前程
剖腹产
剧情转折
剪指甲
剪贴板
副作用
副本
力道
办宽带
加害
加热
加载
动态更新
劫匪 （强盗）
劲爆
劳动力
勋章
勤快
勾搭
包房
化为乌有
北非
区分大小写
医好病人
十亿
十有八九 （十之八九）
升温
午休
午饭
半途而废
华尔街
华语
卑鄙
单元格
单词
南美洲
博得媒体的关注
卡死
卫城
印尼
卷发
卷轴
卸妆
历来
压根
压榨
原封不动
原木
参数
参谋
双击
反感 (一个人)
发家致富
发布
发文
发泄
发脾气
发行人
发酵
发音
叔叔
取巧
取证 （搜集证据）
变态反应
变种
变量
口号
古色古香
叫声
可不 （可不是）
可耻
史前
史莱姆
右侧
吃后悔药 （遗憾)
吃喝拉撒睡
吃土
吃瓜群众
吃透
合作愉快
吊儿郎当
吊膀子
同事
同昨天相比
同父异母的哥
名列前茅
名校
后勤
后天
后端
后续
后续会议
后缀
吐槽
向图书馆借的书
吓坏了 （怕死了）
听见
听话
吸毒
周一至周五
周年
呵呵
呼呼大睡 （深睡）
和朋友聚会
唠唠叨叨
唠嗑
唧唧喳喳
喇叭
喜感 （滑稽）
喝光
喧哗
喷壶
嘲讽
噩梦 （梦魇）
嚷嚷
团购
团队
困
困境
围裙
图纸
土味情话
在我的小学时代理
坐以待毙
坐电梯
坚硬 （硬）
垂钓
垫钱
基本功
堂哥
堂堂
塌方 （塌下）
填字图
墨镜
声明
处女
复活节
外交官
外企 （外国公司）
外公
外号
外婆
外星人
外貌协会
多一事不如少一事
多多指教
多线程
夜猫子
够着
大人
大伯
大佬
大出血
大动干戈
大块头
大堂
大好
大家都管他叫A
大小写
大括号
大清早
大灯
大牛
大象
天够蓝
天无绝人之路
太爽了
太阳好耀眼
太阳很大
夫妻相
头顶
奏效
奔波
奖励 （报酬）
套路
女朋友 （女票）
奴役
奶奶
她为我做了一个蛋糕
她是我的菜
她是由奶奶带大的
她给我打了A块钱
她通过努力考上了大学
好在
好气
好莱坞
好记
